run,seed,rep,cond,obs,c_min,t_min,pre_vyb,pre_ang,core_vyb,core_ang,post_vyb,post_ang
isaac_bigarena_gmpc_scan_heading__seed18__c10_s18_r2_on_045139,18,r2,on,dyn_obs_1,0.38341496751657417,56.11999874577407,0.010199573927284294,2.6895088222422627,0.0683513135575881,17.767813295087404,0.07173877303200098,18.66066007884656
isaac_bigarena_gmpc_scan_heading__seed18__c10_s18_r2_on_045139,18,r2,on,dyn_obs_3,0.10207715517683563,27.369999387774072,0.09809239713327447,25.771059644142767,0.06567517844874582,16.765147100772005,0.017683609114188606,5.070379195277826
isaac_bigarena_gmpc_scan_heading__seed23__c10_s23_r1_on_062625,23,r1,on,dyn_obs_1,0.09414485443523907,73.7899983511063,0.01699683719974382,4.176511825411892,0.0442259505947533,10.61934265744711,0.02535052302012315,6.719110689616397
isaac_bigarena_gmpc_scan_heading__seed23__c10_s23_r1_on_062625,23,r1,on,dyn_obs_4,0.43504423105907913,33.03999926110632,0.021137551614391625,5.551301536180926,0.08616364785510994,21.426763236208437,0.03237193344839605,8.28189731178498
isaac_bigarena_gmpc_scan_heading__seed23__c10_s23_r1_on_062625,23,r1,on,dyn_obs_7,0.4256479944555139,35.589999204106306,0.0763041988473416,20.13185885143954,0.029260210010874504,7.567212719138406,0.01545377794407294,3.958830841300961
isaac_bigarena_gmpc_scan_heading__seed23__c10_s23_r2_on_063205,23,r2,on,dyn_obs_1,0.10201809061309086,73.60999835443329,0.03763593978465432,9.723223961990076,0.059183674443320254,14.653475803689481,0.010712131108844183,2.595411775600867
isaac_bigarena_gmpc_scan_heading__seed23__c10_s23_r2_on_063205,23,r2,on,dyn_obs_4,0.4464697282250428,32.809999266433294,0.049411766087478604,13.14108099244488,0.08106478413267673,21.553577479719046,0.052413193761126145,13.778997906036736
isaac_bigarena_gmpc_scan_heading__seed23__c10_s23_r2_on_063205,23,r2,on,dyn_obs_7,0.4273642941369294,35.259999211433296,0.07881189147360454,19.766041749006416,0.04647868807675139,12.968167470176448,0.03186013359114033,7.9120320630092165
isaac_bigarena_gmpc_scan_heading__seed27__c10_s27_r1_on_042610,27,r1,on,dyn_obs_1,0.12256326698801545,21.6799995149791,0.12885498225275532,36.48545195882882,0.08588676698369697,22.992819814016098,0.07046675057095791,17.693894186554058
isaac_bigarena_gmpc_scan_heading__seed27__c10_s27_r2_on_043146,27,r2,on,dyn_obs_1,0.0844020466374194,20.999999530334634,0.11948302367275537,34.62381776025637,0.053994465427030645,14.433550228184655,0.08659381799301553,23.581474990662237
isaac_bigarena_gmpc_scan_heading__seed29__c10_s29_r1_on_073117,29,r1,on,dyn_obs_0,0.06655658180750396,16.199999637760953,0.10805491346898907,31.06357310834064,0.08171478400403662,22.359464740876728,0.09092038163299843,24.07057193792622
isaac_bigarena_gmpc_scan_heading__seed29__c10_s29_r1_on_073117,29,r1,on,dyn_obs_3,0.0555253423415803,8.649999806760974,0.0462256093229184,11.507362832644075,0.11659349222469798,40.904459310084306,0.08713861816842103,23.154673644709845
isaac_bigarena_gmpc_scan_heading__seed29__c10_s29_r2_on_073648,29,r2,on,dyn_obs_0,0.06963103342681637,17.2699996144531,0.12375405240290363,32.33358289716085,0.05429803936031921,13.2012175986842,0.09520847174751168,26.429384431139418
isaac_bigarena_gmpc_scan_heading__seed29__c10_s29_r2_on_073648,29,r2,on,dyn_obs_3,0.08226796721882318,8.969999799453092,0.024734333117548614,6.7368530362652566,0.12490120880026763,39.48346272347054,0.05835553054898743,14.258679672249208
isaac_bigarena_gmpc_scan_heading__seed2__c10_s2_r1_on_055814,2,r1,on,dyn_obs_0,0.35716581251998475,116.1099974044078,nan,nan,nan,nan,nan,nan
isaac_bigarena_gmpc_scan_heading__seed2__c10_s2_r1_on_055814,2,r1,on,dyn_obs_0,0.3545707721257753,164.10999633140779,nan,nan,nan,nan,nan,nan
isaac_bigarena_gmpc_scan_heading__seed2__c10_s2_r1_on_055814,2,r1,on,dyn_obs_1,0.2825232868900243,74.4099983364078,0.02793969954568011,7.18292709079034,0.02136778987310224,5.2098977674536915,0.029600829773169815,7.565599719747174
isaac_bigarena_gmpc_scan_heading__seed2__c10_s2_r1_on_055814,2,r1,on,dyn_obs_4,0.32538512961159755,34.859999220407786,0.0558375969862117,14.249375107308138,0.05987420924270252,15.35371097580359,0.048137576238799204,12.799718303997693
isaac_bigarena_gmpc_scan_heading__seed2__c10_s2_r1_on_055814,2,r1,on,dyn_obs_7,0.4674114310991749,37.70999915740779,0.07452070696658895,19.668251515608297,0.03496110800077436,8.609599931027757,0.027720583855558548,6.9615375750621435
isaac_bigarena_gmpc_scan_heading__seed2__c10_s2_r2_on_060624,2,r2,on,dyn_obs_0,0.3503643615449033,116.15999740363668,nan,nan,nan,nan,nan,nan
isaac_bigarena_gmpc_scan_heading__seed2__c10_s2_r2_on_060624,2,r2,on,dyn_obs_0,0.34772195248476107,164.1099963316367,nan,nan,nan,nan,nan,nan
isaac_bigarena_gmpc_scan_heading__seed2__c10_s2_r2_on_060624,2,r2,on,dyn_obs_1,0.43050320217653,74.35999833763668,0.019355916543845726,4.925427558311613,0.0125016380633299,3.0301232313207294,0.02240557910036474,5.9479007217036095
isaac_bigarena_gmpc_scan_heading__seed2__c10_s2_r2_on_060624,2,r2,on,dyn_obs_4,0.3523950647667275,35.459999207636685,0.03907682581421711,10.261180781342704,0.0732617533279782,18.324523888929107,0.05232913941674944,14.587041836844609
isaac_bigarena_gmpc_scan_heading__seed2__c10_s2_r2_on_060624,2,r2,on,dyn_obs_7,0.4759772611420053,37.909999152636686,0.08784239843634076,22.61093291276501,0.019482625373239117,5.053969815472527,0.05014378236966951,12.785501514824391
isaac_bigarena_gmpc_scan_heading__seed3__c10_s3_r1_on_040452,3,r1,on,dyn_obs_5,0.1189112471445154,58.37999869519473,0.022571078502313796,5.540060216122361,0.06929507307792496,17.669207595885,0.07342482376648421,19.12292599159744
isaac_bigarena_gmpc_scan_heading__seed3__c10_s3_r1_on_040452,3,r1,on,dyn_obs_8,0.15715445883037316,78.37999824819474,0.022436200145792104,5.765803810550944,0.0659971063456978,17.564700632349115,0.04896389209141859,12.801420886248163
