frame_t,log_t,opening_mm,phase,readback_dq_rad,readback_dopening_m
21.5,21.5,19.987,release,0.00016054,1.1e-07
21.5333,21.54,19.987,release,0.00016054,1.1e-07
21.5667,21.57,19.987,release,0.00016054,1.1e-07
21.6,21.6,19.987,release,0.00016054,1.1e-07
21.6333,21.64,19.987,release,0.00016054,1.1e-07
21.6667,21.67,19.987,release,0.00016054,1.1e-07
21.7,21.7,19.987,release,0.00016054,1.1e-07
21.7333,21.74,19.987,release,0.00016054,1.1e-07
21.7667,21.77,19.987,retreat,0.00016054,1.1e-07
21.8,21.8,19.987,retreat,0.00016054,1.1e-07
21.8333,21.84,19.987,retreat,0.00016047,1.1e-07
21.8667,21.87,19.987,retreat,0.00016035,1.1e-07
21.9,21.9,19.987,retreat,0.00016033,1.1e-07
21.9333,21.94,19.987,retreat,0.00015996,1.1e-07
21.9667,21.97,19.987,retreat,0.00015956,1.1e-07
22.0,22.0,19.987,retreat,0.00015917,1.1e-07
22.0333,22.04,19.987,retreat,0.00015841,1.1e-07
22.0667,22.07,19.987,retreat,0.00015775,1.1e-07
22.1,22.1,19.987,retreat,0.00015691,1.1e-07
22.1333,22.14,19.987,retreat,0.00015568,1.1e-07
22.1667,22.17,19.987,retreat,0.00015465,1.1e-07
22.2,22.2,19.987,retreat,0.00015371,1.1e-07
22.2333,22.24,19.987,retreat,0.00015236,1.1e-07
22.2667,22.27,19.987,retreat,0.00015125,1.1e-07
22.3,22.3,19.987,retreat,0.00014999,1.1e-07
22.3333,22.34,19.987,retreat,0.00014798,1.1e-07
22.3667,22.37,19.987,retreat,0.00014644,1.1e-07
22.4,22.4,19.987,retreat,0.00014486,1.1e-07
22.4333,22.44,19.987,retreat,0.00014302,1.1e-07
22.4667,22.47,19.987,retreat,0.00014167,1.1e-07
22.5,22.5,19.987,retreat,0.00014033,1.1e-07
22.5333,22.54,19.987,retreat,0.00013826,1.1e-07
22.5667,22.57,19.987,retreat,0.00013679,1.1e-07
22.6,22.6,19.987,retreat,0.00013528,1.1e-07
22.6333,22.64,19.987,retreat,0.00013346,1.1e-07
22.6667,22.67,19.987,retreat,0.00013216,1.1e-07
22.7,22.7,19.987,retreat,0.00013089,1.1e-07
22.7333,22.74,19.987,retreat,0.00012955,1.1e-07
22.7667,22.77,19.987,retreat,0.00012843,1.1e-07
22.8,22.8,19.987,retreat,0.00012728,1.1e-07
22.8333,22.84,19.987,retreat,0.00012588,1.1e-07
22.8667,22.87,19.987,retreat,0.00012507,1.1e-07
22.9,22.9,19.987,retreat,0.00012406,1.1e-07
22.9333,22.94,19.987,retreat,0.00012309,1.1e-07
22.9667,22.97,19.987,retreat,0.00012256,1.1e-07
23.0,23.0,19.987,retreat,0.00012178,1.1e-07
23.0333,23.04,19.987,retreat,0.00012124,1.1e-07
23.0667,23.07,19.987,retreat,0.00012087,1.1e-07
23.1,23.1,19.987,retreat,0.00012059,1.1e-07
23.1333,23.14,19.987,settle,0.0001202,1.1e-07
23.1667,23.17,19.987,settle,0.00012011,1.1e-07
23.2,23.2,19.987,settle,0.00012001,1.1e-07
23.2333,23.24,19.987,settle,0.0001197,1.1e-07
23.2667,23.27,19.987,settle,0.0001197,1.1e-07
23.3,23.3,19.987,settle,0.00011969,1.1e-07
23.3333,23.34,19.987,settle,0.0001197,1.1e-07
23.3667,23.37,19.987,settle,0.00011965,1.1e-07
23.4,23.4,19.987,settle,0.00011965,1.1e-07
23.4333,23.44,19.987,settle,0.00011966,1.1e-07
23.4667,23.47,19.987,settle,0.00011968,1.1e-07
23.5,23.5,19.987,settle,0.00011967,1.1e-07
23.5333,23.54,19.987,settle,0.00011969,1.1e-07
23.5667,23.57,19.987,settle,0.00011968,1.1e-07
23.6,23.6,19.987,settle,0.00011967,1.1e-07
23.6333,23.64,19.987,settle,0.00011962,1.1e-07
23.6667,23.67,19.987,settle,0.00011964,1.1e-07
23.7,23.7,19.987,settle,0.00011962,1.1e-07
23.7333,23.74,19.987,settle,0.00011962,1.1e-07
23.7667,23.77,19.987,settle,0.00011964,1.1e-07
23.8,23.8,19.987,settle,0.00011961,1.1e-07
23.8333,23.84,19.987,settle,0.00011964,1.1e-07
23.8667,23.87,19.987,settle,0.00011963,1.1e-07
23.9,23.9,19.987,settle,0.00011963,1.1e-07
23.9333,23.94,19.987,settle,0.00011962,1.1e-07
23.9667,23.97,19.987,settle,0.00011962,1.1e-07
24.0,24.0,19.987,settle,0.00011962,1.1e-07
24.0333,24.04,19.987,settle,0.00011962,1.1e-07
24.0667,24.07,19.987,settle,0.00011962,1.1e-07
24.1,24.1,19.987,settle,0.00011962,1.1e-07
24.1333,24.14,19.987,settle,0.0001196,1.1e-07
24.1667,24.17,19.987,settle,0.0001196,1.1e-07
24.2,24.2,19.987,settle,0.0001196,1.1e-07
24.2333,24.24,19.987,settle,0.0001196,1.1e-07
24.2667,24.27,19.987,settle,0.0001196,1.1e-07
24.3,24.3,19.987,settle,0.0001196,1.1e-07
24.3333,24.34,19.987,settle,0.0001196,1.1e-07
24.3667,24.37,19.987,settle,0.0001196,1.1e-07
24.4,24.4,19.987,settle,0.0001196,1.1e-07
24.4333,24.44,19.987,settle,0.0001196,1.1e-07
24.4667,24.47,19.987,settle,0.0001196,1.1e-07
24.5,24.5,19.987,settle,0.0001196,1.1e-07
24.5333,24.54,19.987,settle,0.0001196,1.1e-07
24.5667,24.57,19.987,settle,0.0001196,1.1e-07
24.6,24.6,19.987,settle,0.0001196,1.1e-07
24.6333,24.64,19.987,settle,0.0001196,1.1e-07
24.6667,24.67,19.987,settle,0.0001196,1.1e-07
24.7,24.7,19.987,settle,0.0001196,1.1e-07
24.7333,24.74,19.987,settle,0.0001196,1.1e-07
24.7667,24.77,19.987,settle,0.0001196,1.1e-07
24.8,24.8,19.987,settle,0.0001196,1.1e-07
24.8333,24.84,19.987,settle,0.0001196,1.1e-07
24.8667,24.87,19.987,settle,0.0001196,1.1e-07
24.9,24.9,19.987,settle,0.0001196,1.1e-07
24.9333,24.94,19.987,settle,0.0001196,1.1e-07
24.9667,24.97,19.987,settle,0.0001196,1.1e-07
