frame_t,log_t,opening_mm,phase,readback_dq_rad,readback_dopening_m
60.7667,60.77,0.0,,6.694e-05,0.0
60.8,60.81,0.0,,6.703e-05,0.0
60.8333,60.84,0.0,,6.717e-05,0.0
60.8667,60.87,0.0,,6.732e-05,0.0
60.9,60.91,0.0,,7.008e-05,0.0
60.9333,60.94,0.0,,7.645e-05,0.0
60.9667,60.97,0.0,,8.334e-05,0.0
61.0,61.01,0.0,,9.089e-05,0.0
61.0333,61.04,0.0,,9.889e-05,0.0
61.0667,61.07,0.0,,0.00010736,0.0
61.1,61.11,0.0,,0.00011653,0.0
61.1333,61.14,0.0,,0.00012641,0.0
61.1667,61.17,0.0,,0.0001371,0.0
61.2,61.21,0.0,,0.00014863,0.0
61.2333,61.24,0.0,,0.00016098,0.0
61.2667,61.27,0.0,,0.00017431,0.0
61.3,61.31,0.0,,0.00018858,0.0
61.3333,61.34,0.0,,0.00020391,0.0
61.3667,61.37,0.0,,0.00022033,0.0
61.4,61.41,0.0,,0.00023798,0.0
61.4333,61.44,0.0,,0.00025697,0.0
61.4667,61.47,0.0,,0.00027742,0.0
61.5,61.51,0.0,,0.00029948,0.0
61.5333,61.54,0.0,,0.00032324,0.0
61.5667,61.57,0.0,,0.00034873,0.0
61.6,61.61,0.0,,0.00037604,0.0
61.6333,61.64,0.0,,0.00040545,0.0
61.6667,61.67,0.0,,0.00043698,0.0
61.7,61.71,0.0,,0.00047088,0.0
61.7333,61.74,0.0,,0.0005074,0.0
61.7667,61.77,0.0,,0.00054577,0.0
61.8,61.81,0.0,,0.0005426,0.0
61.8333,61.84,0.0,,0.00028642,0.0
61.8667,61.87,0.0,,0.00030901,0.0
61.9,61.91,0.0,,0.00033336,0.0
61.9333,61.94,0.0,,0.00035966,0.0
61.9667,61.97,0.0,,0.00038786,0.0
62.0,62.01,0.0,,0.00041806,0.0
62.0333,62.04,0.0,,0.00045047,0.0
62.0667,62.07,0.0,,0.00048538,0.0
62.1,62.11,0.0,,0.00052302,0.0
62.1333,62.14,0.0,,0.00054411,0.0
62.1667,62.17,0.0,,0.0003987,0.0
62.2,62.21,0.0,,0.00042976,0.0
62.2333,62.24,0.0,,0.00046327,0.0
62.2667,62.27,0.0,,0.00049926,0.0
62.3,62.31,0.0,,0.00053783,0.0
62.3333,62.34,0.0,,0.00054255,0.0
62.3667,62.37,0.0,,0.00028479,0.0
62.4,62.41,0.0,,0.00030738,0.0
62.4333,62.44,0.0,,0.00033154,0.0
62.4667,62.47,0.0,,0.00035764,0.0
62.5,62.51,0.0,,0.00038574,0.0
62.5333,62.54,0.0,,0.00041595,0.0
62.5667,62.57,0.0,,0.00044854,0.0
62.6,62.61,0.0,,0.00048359,0.0
62.6333,62.64,0.0,,0.00052106,0.0
62.6667,62.67,0.0,,0.0005443,0.0
62.7,62.71,0.0,,0.00042123,0.0
62.7333,62.74,0.0,,0.000454,0.0
62.7667,62.77,0.0,,0.00048926,0.0
62.8,62.81,0.0,,0.00052716,0.0
62.8333,62.84,0.0,,0.00054365,0.0
62.8667,62.87,0.0,,0.00036431,0.0
62.9,62.91,0.0,,0.0003927,0.0
62.9333,62.94,0.0,,0.00042324,0.0
62.9667,62.97,0.0,,0.00045624,0.0
63.0,63.01,0.0,,0.00049185,0.0
63.0333,63.04,0.0,,0.00053001,0.0
