seq,t,phase,event,joint1,joint2,joint3,joint4,joint5,joint6,finger,expected_opening
165,3.3000,reach,,-0.000006466,0.435046641,0.674689545,0.000003126,-0.802494984,-1.042134330,0.008900,0.000000
166,3.3200,reach,,-0.000006509,0.437904666,0.679121896,0.000003147,-0.807766950,-1.048980599,0.008900,0.000000
167,3.3400,reach,,-0.000006551,0.440762691,0.683554248,0.000003168,-0.813038915,-1.055826868,0.008900,0.000000
168,3.3600,reach,,-0.000006594,0.443620716,0.687986600,0.000003188,-0.818310881,-1.062673136,0.008900,0.000000
169,3.3800,reach,,-0.000006636,0.446478742,0.692418951,0.000003209,-0.823582846,-1.069519405,0.008900,0.000000
170,3.4000,reach,,-0.000006679,0.449336767,0.696851303,0.000003229,-0.828854812,-1.076365674,0.008900,0.000000
171,3.4200,reach,,-0.000006721,0.452194792,0.701283655,0.000003250,-0.834126777,-1.083211942,0.008900,0.000000
172,3.4400,reach,,-0.000006764,0.455052817,0.705716007,0.000003270,-0.839398743,-1.090058211,0.008900,0.000000
173,3.4600,reach,,-0.000006806,0.457910842,0.710148358,0.000003291,-0.844670708,-1.096904480,0.008900,0.000000
174,3.4800,reach,,-0.000006849,0.460768868,0.714580710,0.000003311,-0.849942674,-1.103750748,0.008900,0.000000
175,3.5000,reach,,-0.000006891,0.463626893,0.719013062,0.000003332,-0.855214640,-1.110597017,0.008900,0.000000
176,3.5200,reach,,-0.000006934,0.466484918,0.723445413,0.000003352,-0.860486605,-1.117443286,0.008900,0.000000
177,3.5400,reach,,-0.000006976,0.469342943,0.727877765,0.000003373,-0.865758571,-1.124289554,0.008900,0.000000
178,3.5600,reach,,-0.000007019,0.472200968,0.732310117,0.000003393,-0.871030536,-1.131135823,0.008900,0.000000
179,3.5800,reach,,-0.000007061,0.475058994,0.736742469,0.000003414,-0.876302502,-1.137982092,0.008900,0.000000
180,3.6000,reach,,-0.000007104,0.477917019,0.741174820,0.000003435,-0.881574467,-1.144828360,0.008900,0.000000
181,3.6200,reach,,-0.000007146,0.480775044,0.745607172,0.000003455,-0.886846433,-1.151674629,0.008900,0.000000
182,3.6400,reach,,-0.000007189,0.483633069,0.750039524,0.000003476,-0.892118398,-1.158520898,0.008900,0.000000
183,3.6600,reach,,-0.000007231,0.486491094,0.754471875,0.000003496,-0.897390364,-1.165367166,0.008900,0.000000
184,3.6800,reach,,-0.000007274,0.489349120,0.758904227,0.000003517,-0.902662329,-1.172213435,0.008900,0.000000
185,3.7000,reach,,-0.000007316,0.492207145,0.763336579,0.000003537,-0.907934295,-1.179059704,0.008900,0.000000
186,3.7200,reach,,-0.000007358,0.495065170,0.767768931,0.000003558,-0.913206260,-1.185905972,0.008900,0.000000
187,3.7400,reach,,-0.000007401,0.497923195,0.772201282,0.000003578,-0.918478226,-1.192752241,0.008900,0.000000
188,3.7600,reach,,-0.000007443,0.500781220,0.776633634,0.000003599,-0.923750191,-1.199598510,0.008900,0.000000
189,3.7800,reach,,-0.000007486,0.503639246,0.781065986,0.000003619,-0.929022157,-1.206444778,0.008900,0.000000
