seg,step,t,cmd_joint1,cmd_joint2,cmd_joint3,cmd_joint4,cmd_joint5,cmd_joint6,q_joint1,q_joint2,q_joint3,q_joint4,q_joint5,q_joint6,qd_joint1,qd_joint2,qd_joint3,qd_joint4,qd_joint5,qd_joint6,meff_joint1,meff_joint2,meff_joint3,meff_joint4,meff_joint5,meff_joint6,aeff_joint1,aeff_joint2,aeff_joint3,aeff_joint4,aeff_joint5,aeff_joint6,grav_joint1,grav_joint2,grav_joint3,grav_joint4,grav_joint5,grav_joint6,cor_joint1,cor_joint2,cor_joint3,cor_joint4,cor_joint5,cor_joint6,base_vx,base_vy,base_vz,base_wx,base_wy,base_wz
A,26,5.35000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000017719,1.053138256,1.724495411,0.000433075,-0.894475937,-1.570639610,0.014299455,-0.089622512,-0.120601729,-0.022852896,-0.119056888,0.009760903,0.107118,-14.763794,6.247458,0.278401,-0.534036,0.066852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049950,1.811131,0.000000,0.001191,-0.006699,-0.010123,0.002425,0.000693,-0.000421,0.00315526,-0.00254220,0.02226444,-0.03554475,0.00142594,0.00104188
A,27,5.36000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000017604,1.053131580,1.724495888,0.000433524,-0.894475639,-1.570639372,-0.002933501,0.056354761,0.049170870,-0.028157620,-0.057949316,0.021432707,0.171428,-14.033533,5.994675,0.270167,-0.537427,0.066716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049931,1.811133,0.000000,0.001945,-0.002423,-0.003332,0.000778,0.001158,-0.000702,0.00546777,-0.00216655,0.02595245,-0.00054778,-0.01582927,-0.00463669
A,28,5.37000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000017880,1.053131580,1.724495053,0.000433831,-0.894474864,-1.570639253,-0.025200611,0.057138629,0.051825482,-0.049163297,-0.047340982,0.048949517,-0.181211,-14.292006,6.118172,0.277965,-0.540836,0.068106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049858,1.811430,0.000000,0.003607,-0.003914,-0.006450,0.001138,0.002059,-0.001235,0.01096351,0.00414792,0.02061024,0.01090123,-0.02700193,0.00584482
A,29,5.38000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000018519,1.053132653,1.724495888,0.000432174,-0.894474626,-1.570639610,0.004715204,0.012305960,0.011984292,-0.056306370,-0.054039359,0.058217391,-0.638522,-14.477806,6.124908,0.277308,-0.529894,0.069085,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049978,1.810687,0.000000,0.000678,-0.001033,-0.002027,0.000222,0.000259,-0.000082,0.00634566,-0.00568620,0.02397380,-0.01414731,-0.00361250,-0.00483188
A,30,5.39000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000016779,1.053136110,1.724495649,0.000434271,-0.894475460,-1.570639491,-0.010281038,0.031980142,0.021547424,0.013669383,-0.062261268,-0.030825881,1.368019,-14.495529,6.173044,0.263967,-0.541832,0.064473,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049946,1.811783,0.000000,-0.000294,-0.001644,-0.000590,0.000726,-0.000130,0.000073,-0.00072950,-0.00050721,0.02406137,-0.00205634,-0.00124274,0.01664569
A,31,5.40000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000017236,1.053128242,1.724496484,0.000433716,-0.894475102,-1.570639372,-0.049589876,0.037474643,0.049386274,-0.071780205,-0.033971835,0.057213366,-0.432044,-13.999081,5.973557,0.270296,-0.532755,0.067490,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049898,1.811431,0.000000,0.003129,-0.006325,-0.004216,0.003086,0.001925,-0.001077,0.00454949,-0.00350498,0.01925314,-0.00044874,-0.02799938,0.01221307
A,32,5.41000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000017968,1.053131700,1.724495053,0.000433358,-0.894473612,-1.570639014,-0.026507568,0.140680134,0.141015097,-0.047274467,-0.004726819,0.039486282,-0.415940,-14.522387,6.165778,0.284648,-0.539830,0.069225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049892,1.811195,0.000000,0.005868,-0.012664,-0.012831,0.004362,0.003141,-0.001843,0.00130425,0.00367002,0.02625605,0.02975865,-0.00990695,0.00479632
A,33,5.42000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000018039,1.053131819,1.724496365,0.000431851,-0.894474268,-1.570639610,-0.019696821,0.049727395,0.059041515,-0.082701139,-0.004159017,0.087049879,-0.350667,-14.355799,6.110247,0.269403,-0.527225,0.067957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049852,1.811013,0.000000,0.002420,-0.002975,-0.003083,0.001038,0.001446,-0.000910,0.00981863,-0.00297072,0.02252751,0.00159410,-0.01746716,0.00331259
A,34,5.43000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000018072,1.053131461,1.724495411,0.000433038,-0.894473493,-1.570639133,-0.010299404,0.117977530,0.105545618,-0.044042759,-0.023226526,0.050034709,0.201725,-14.289434,6.102434,0.278142,-0.543428,0.066932,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049845,1.811392,0.000000,0.003934,-0.008056,-0.012248,0.001985,0.002122,-0.001311,0.01066133,0.00746101,0.02482929,0.02852518,-0.01676888,0.00262715
A,35,5.44000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000016056,1.053134680,1.724495888,0.000434734,-0.894474566,-1.570639133,-0.008794080,0.039894070,0.024767593,0.046878930,-0.081878029,-0.053825788,1.438783,-14.354816,6.164699,0.259727,-0.537523,0.064019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049934,1.812054,0.000000,0.000555,-0.006176,-0.002039,0.002413,0.000209,-0.000114,0.00906920,0.00187649,0.02347855,0.00078136,-0.00963620,0.03392949
