method,run,success,arrival_time_s,total_time_s,path_length_m,tracking_rmse_m,smooth_vx,smooth_vy,smooth_wz,jerk_vx,jerk_vy,jerk_wz,min_clearance_m,collision_count,collided,solve_time_mean_ms,solve_time_p95_ms,solve_time_max_ms,goal_xy_x,goal_xy_y,final_dist_to_goal_m,min_dist_to_goal_m,pose_source,n_odom,n_cmd,n_plan,n_obstacles,n_solve_time,bag
gmpc_cbf,seed8,True,152.57026267051697,153.32156085968018,33.30102826420391,0.1031086370198916,0.09155641398412527,0.0636043574281017,0.25757086766335996,1.2055389493167057,0.3538313261009084,1.4217026300069588,0.16484060210755708,0,False,2.3858259376615423,17.338106632232666,95.58199310302734,17.000000275671482,17.000000275671482,0.20209409925878624,0.20209409925878624,map_tf,3131,3105,52,3133,3046,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__seed8
gmpc_cbf,seed9,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,False,nan,nan,nan,nan,nan,nan,nan,map_tf,4975,4969,0,4989,0,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__seed9
gmpc,corner_goal_static_v1,True,91.82368540763855,95.60156011581421,27.460820151683237,0.05578330505779996,0.0911211664452492,0.04411729119418572,0.20639073596997945,0.8227005945683938,0.2328670820189216,1.009966498974628,nan,0,False,nan,nan,nan,17.000000275671482,17.000000275671482,0.18481587549799058,0.18481587549799058,map_tf,2036,2035,92,0,0,/home/howardchen/masterthesis/evaluation/bags/gmpc__corner_goal_static_v1
gmpc,corner_goal_v1,True,98.53069591522217,111.07826685905457,29.00564484634409,0.06842221172149822,0.12727965215508394,0.04515127395483304,0.2053997399935033,1.2936184641019401,0.31965700251405416,0.944008716759816,nan,0,False,nan,nan,nan,17.000000275671482,17.000000275671482,0.15535540614703564,0.15535540614703564,map_tf,2573,2579,2,0,0,/home/howardchen/masterthesis/evaluation/bags/gmpc__corner_goal_v1
gmpc,corner_goal_v2,True,98.33209419250488,114.14702868461609,28.131859016947935,0.049756023295276994,0.11146955239415948,0.03771805446087176,0.21507869727617826,1.2533217904155065,0.2510151899183823,0.8617934415511415,nan,0,False,nan,nan,nan,17.000000275671482,17.000000275671482,0.16544818318082335,0.16544818318082335,map_tf,2374,2321,1,0,0,/home/howardchen/masterthesis/evaluation/bags/gmpc__corner_goal_v2
gmpc,seed0,False,nan,245.9799463748932,137.8409877632273,2.897293561103594,0.13887502426018764,0.16603923694715728,0.47852892665217556,0.9977261674744998,0.5744834055536684,1.286535481286452,nan,0,False,0.7867817210685727,2.0624171137809695,12.41477108001709,17.000000275671482,17.000000275671482,11.403981874644732,5.34000569171529,map_tf,4980,4982,168,0,4918,/home/howardchen/masterthesis/evaluation/bags/gmpc__seed0
gmpc,seed1,True,135.7013349533081,136.6479504108429,30.324460590228142,0.08380464187281757,0.05206478856359619,0.055442148435146756,0.23440916952751525,1.1218780974980205,0.41249706181066426,1.3030470583851048,nan,0,False,0.5284644134531744,1.4599793314933776,9.285523414611816,17.000000275671482,17.000000275671482,0.17187849185507956,0.17187849185507956,map_tf,2801,2799,274,0,2719,/home/howardchen/masterthesis/evaluation/bags/gmpc__seed1
gmpc,seed2,True,136.75366640090942,137.65461683273315,29.457142720454637,0.05664038692918862,0.04514097455626857,0.0445856755269845,0.22558340302128146,1.1548619563224847,0.4325208400036561,1.3432435088734955,nan,0,False,0.49686870089183094,1.275538229942322,18.018709182739258,17.000000275671482,17.000000275671482,0.17478153860476067,0.17478153860476067,map_tf,2794,2806,270,0,2743,/home/howardchen/masterthesis/evaluation/bags/gmpc__seed2
gmpc,seed3,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,False,nan,nan,nan,nan,nan,nan,nan,map_tf,4988,4991,0,0,0,/home/howardchen/masterthesis/evaluation/bags/gmpc__seed3
gmpc,seed4,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,False,nan,nan,nan,nan,nan,nan,nan,map_tf,4990,4992,0,0,0,/home/howardchen/masterthesis/evaluation/bags/gmpc__seed4
gmpc,seed5,False,nan,245.88144612312317,155.50898743213318,2.9105951281740245,0.10632546019271022,0.18645943800616896,0.4346982749008142,0.9589471573122967,0.5509438347329734,1.3502605728554817,nan,0,False,0.8194906970271504,2.252650249004363,15.301267623901367,17.000000275671482,17.000000275671482,9.545652773748865,1.4046579069204908,map_tf,4980,4978,131,0,4914,/home/howardchen/masterthesis/evaluation/bags/gmpc__seed5
gmpc,seed6,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,False,nan,nan,nan,nan,nan,nan,nan,map_tf,4988,4970,0,0,0,/home/howardchen/masterthesis/evaluation/bags/gmpc__seed6
gmpc,seed7,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,False,nan,nan,nan,nan,nan,nan,nan,map_tf,4989,4989,0,0,0,/home/howardchen/masterthesis/evaluation/bags/gmpc__seed7
gmpc,seed8,False,nan,245.42522931098938,158.43596622769903,3.1896235151653167,0.0979952786848853,0.16393128888121242,0.3618616495923745,0.955342203868433,0.5245481974640626,1.3620613333052727,nan,0,False,0.8121449755514607,2.323390543460845,9.873903274536133,17.000000275671482,17.000000275671482,10.507268347680123,4.633376522716657,map_tf,4987,4983,113,0,4902,/home/howardchen/masterthesis/evaluation/bags/gmpc__seed8
gmpc,seed9,True,135.42978072166443,136.3320882320404,31.999045691146485,0.16151913627827208,0.05497394627401915,0.061794134263753756,0.24565241725139147,1.1382557868072676,0.46522277627268777,1.3985828509377656,nan,0,False,0.5521472763618785,1.50506625175476,18.39043426513672,17.000000275671482,17.000000275671482,0.17322141379181213,0.17322141379181213,map_tf,2795,2797,133,0,2714,/home/howardchen/masterthesis/evaluation/bags/gmpc__seed9
mppi,corner_goal_static_v1,True,80.33252501487732,88.4410548210144,27.58157762142619,0.06707300923314852,0.0656080181575846,0.014965116567853525,0.14073895673949816,0.052614306508346004,0.2856372138457706,0.14554492942280237,nan,0,False,nan,nan,nan,17.000000275671482,17.000000275671482,0.027347687453588357,0.026851213642720903,map_tf,1854,1651,79,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__corner_goal_static_v1
mppi,corner_goal_v1,True,84.73013544082642,89.31300783157349,27.874619465295456,0.07035336422922452,0.08710108301409247,0.015310942985118236,0.15455298571496867,0.08132083557594758,0.301466143091166,0.20013767554928646,nan,0,False,nan,nan,nan,17.000000275671482,17.000000275671482,0.04098427201698625,0.04098427201698625,map_tf,1952,1737,84,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__corner_goal_v1
mppi,seed0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,False,nan,nan,nan,nan,nan,nan,nan,map_tf,4940,0,0,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__seed0
