run,seed,side,obs,t_min,c_min,dur,前_vyb,前_ang,前_wz,前_sp,前_c,前_n,中_vyb,中_ang,中_wz,中_sp,中_c,中_n,後_vyb,後_ang,後_wz,後_sp,後_c,後_n
isaac_bigarena_gmpc_scan__seed8__b5_s8_off_162908,8,OFF,dyn_obs_4,68.31999847335896,0.08629971703647349,31.949999286000008,0.1815690734845115,55.08939728286634,0.0008682738549895655,0.21674930244270846,0.5009843343625668,91,0.18539723524139545,85.0416340835293,0.0026618475449290335,0.22217724303706185,0.08629971703647349,441,0.20062799712046867,115.97858777601272,0.0026438049365250117,0.22620589556953624,0.5000254297551099,108
isaac_bigarena_gmpc_scan__seed8__r2_s8_off_174711,8,OFF,dyn_obs_4,68.49999846857796,0.08950178793351032,31.249999301000003,0.15976690640358618,47.48421880770842,0.0010139137927044856,0.2222555342360686,0.5028605098471655,108,0.1687950889493572,102.07903518924579,0.002677738280333876,0.223954671050852,0.08950178793351032,415,0.1922791159260987,119.09125069523972,0.0038006792534599422,0.22027243137639413,0.5033263025344106,103
isaac_bigarena_gmpc_scan__seed8__r3_s8_off_181023,8,OFF,dyn_obs_4,68.05999847846812,0.06795526376173472,30.79999931200001,0.14896553799357526,42.13435064239991,0.002485577072808628,0.2213996343244556,0.5030065855026367,105,0.16977381633324218,107.93013333401467,0.002779709312276485,0.2212921458490757,0.06795526376173472,412,0.19061998818117004,119.71746315543251,0.003708310765426762,0.22368189880645145,0.5047162527420814,100
isaac_bigarena_gmpc_scan__seed13__b5_s13_off_163419,13,OFF,dyn_obs_2,12.029999730773511,0.05335724575798856,9.349999791000016,0.008084081926029099,2.1894783411467156,0.002583181941673406,0.21737787242728654,0.5097746930529081,39,0.013179515941516964,3.3692556552409547,0.0024565498514716186,0.2242530983275437,0.05335724575798856,113,0.17434285335541555,55.62276964374972,0.0021157837859074923,0.22488321425799634,0.5056312425920637,36
isaac_bigarena_gmpc_scan__seed13__b5_s13_off_163419,13,OFF,dyn_obs_5,27.829999377773504,0.20823460523781095,19.299999569000022,0.1751105021121722,55.52020707545628,0.0009554396934727626,0.2181952332829774,0.5034787354149974,73,0.16873336956074414,49.739673916873116,0.0016183294670426708,0.22517230431416801,0.20823460523781095,244,0.2004812909918718,64.11559267752855,0.0008276751820424752,0.22269221846015214,0.5018273982972938,70
isaac_bigarena_gmpc_scan__seed24__b5_s24_off_165529,24,OFF,dyn_obs_5,68.01999847995097,0.49729302744049647,20.049999552000003,0.21343772138039543,107.12066712969084,0.003980769036576782,0.22509370942118903,0.5016814329801231,212,0.22110074472135766,99.50356973533624,0.00822934493901994,0.23097055065227656,0.49729302744049647,22,0.21369500801042704,79.09362261250348,0.0020883599256636596,0.2214306418222814,0.500101242647093,168
isaac_bigarena_gmpc_scan__seed24__b5_s24_off_165529,24,OFF,dyn_obs_9,88.71999801695097,0.08285973951053505,9.699999784,0.22188669939686212,94.70324321676316,0.001465323769188728,0.22485892035783095,0.5044654128865984,34,0.19224423066652757,109.8798337579193,0.010028164031115002,0.23168144366773688,0.08285973951053505,126,0.1335757766722383,143.41425993875853,0.0028374163916784325,0.21873719758474572,0.5073125320083418,35
isaac_bigarena_gmpc_scan_heading__seed1__v2_on_154856,1,ON,dyn_obs_4,33.30999925594034,0.052402651254652766,9.999999777,0.03820807969594946,9.243741543080088,0.006818491237705409,0.22767801020853767,0.5041410323346274,43,0.047984994912997514,12.61458874143829,0.09285510610587279,0.22951127124000534,0.052402651254652766,119,0.069924816378862,18.148577247654767,0.07753311561176256,0.2232984042850898,0.5004489443286044,39
isaac_bigarena_gmpc_scan_heading__seed1__v2_on_154856,1,ON,dyn_obs_7,35.70999920194032,0.41991295926230926,6.94999984399999,0.07567251846716705,18.983605032168608,0.08637581315523978,0.23037721268241312,0.5024293235132016,41,0.04506997942579136,11.483347401220053,0.020464631870349883,0.2213159664276949,0.41991295926230926,37,0.029897590011693197,7.354698285117417,0.07898782484506389,0.22431064585729815,0.5020454601656683,62
isaac_bigarena_gmpc_scan_heading__seed1__v2_on_154856,1,ON,dyn_obs_1,73.95999834694032,0.09244801889884274,8.299999814000017,0.03443525598313521,9.273852882437465,0.009763196614049067,0.22321851906681267,0.5034028132426205,35,0.054870130274710174,13.847081268591776,0.032572773597252955,0.2260979147642005,0.09244801889884274,69,0.028618399762120272,7.3150957132293595,0.02259046195851624,0.22359580876343244,0.503286685975777,63
isaac_bigarena_gmpc_scan_heading__seed1__r2_s1_on_172515,1,ON,dyn_obs_4,33.10999925962241,0.05362656903343194,9.999999777,0.017806743603124134,4.54328132046935,0.013988524589559336,0.22795679635852722,0.5046150582622757,43,0.06176751484606753,15.392025153076231,0.08784820208943366,0.22298943360165102,0.05362656903343194,119,0.06472506133788902,16.49873581543303,0.08479522418929447,0.22378564925096692,0.5037301477232099,39
isaac_bigarena_gmpc_scan_heading__seed1__r2_s1_on_172515,1,ON,dyn_obs_7,35.80999919962241,0.4247619959095004,6.949999845000008,0.07570191410878743,20.669408851323027,0.08256508481243849,0.22298943360165102,0.5039602171637545,43,0.04301868874801331,10.768626693142167,0.0322262713683122,0.22784834769263534,0.4247619959095004,38,0.04055416609587903,10.528611522991696,0.08921420470383386,0.22795241774561598,0.5066276727450454,59
isaac_bigarena_gmpc_scan_heading__seed1__r2_s1_on_172515,1,ON,dyn_obs_1,73.9099983476224,0.09098878329681709,8.299999814000017,0.021747005432230626,5.31349586702398,0.015147919776950462,0.22647890509300017,0.5031148352911785,34,0.03986891031840459,9.69881042727098,0.03417746634037848,0.2242186967404874,0.09098878329681709,70,0.011576461078492084,2.93210074503789,0.008693126136354815,0.2232315320007338,0.5052316744388132,63
isaac_bigarena_gmpc_scan_heading__seed1__r3_s1_on_174149,1,ON,dyn_obs_4,33.48999925101117,0.04959654569739752,9.849999780000019,0.014046393966605085,3.5518101013308208,0.027283598892456927,0.22332533564473753,0.5096175936352201,38,0.05606055637204463,13.992960115611808,0.1001661369958903,0.22627410507466622,0.04959654569739752,122,0.05724943641557917,14.52248844286475,0.0957477489662337,0.22401827989905715,0.5063600561310833,38
