step,t,base_x,base_y,base_z,base_yaw_deg,cmd_joint1,cmd_joint2,cmd_joint3,cmd_joint4,cmd_joint5,cmd_joint6,q_joint1,q_joint2,q_joint3,q_joint4,q_joint5,q_joint6,qd_joint1,qd_joint2,qd_joint3,qd_joint4,qd_joint5,qd_joint6,meff_joint1,meff_joint2,meff_joint3,meff_joint4,meff_joint5,meff_joint6
48,10.97000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450173,-0.894473076,-1.570633054,0.000096939,-0.015479593,0.006046467,-0.004332728,-0.005942668,-0.001688473,0.000008,-14.337542,6.113452,0.274909,-0.536141,0.067335
49,10.98000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450170,-0.894473016,-1.570632935,0.000096970,-0.015479909,0.006046346,-0.004332663,-0.005947999,-0.001691402,0.000011,-14.337591,6.113479,0.274910,-0.536144,0.067335
50,10.99000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450168,-0.894473016,-1.570632696,0.000094915,-0.015486073,0.006073201,-0.004380388,-0.004420197,-0.000870291,0.000009,-14.337569,6.113470,0.274910,-0.536143,0.067335
51,11.00000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450162,-0.894472897,-1.570632577,0.000094902,-0.015486009,0.006073158,-0.004380583,-0.004420802,-0.000870778,0.000009,-14.337571,6.113470,0.274909,-0.536143,0.067335
52,11.01000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450157,-0.894472718,-1.570632458,0.000094912,-0.015486097,0.006072962,-0.004380343,-0.004420285,-0.000870496,0.000009,-14.337574,6.113471,0.274910,-0.536143,0.067335
53,11.02000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450153,-0.894472659,-1.570632219,0.000096845,-0.015480021,0.006047677,-0.004335309,-0.005889808,-0.001660376,0.000009,-14.337584,6.113480,0.274909,-0.536144,0.067335
54,11.03000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450158,-0.894472778,-1.570633054,0.000096806,-0.015479803,0.006048475,-0.004336311,-0.005942987,-0.001689214,0.000009,-14.337622,6.113499,0.274910,-0.536146,0.067335
55,11.04000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450158,-0.894472778,-1.570632815,0.000096858,-0.015479976,0.006047824,-0.004334928,-0.005894890,-0.001662780,0.000009,-14.337540,6.113450,0.274910,-0.536140,0.067335
56,11.05000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450162,-0.894472837,-1.570633411,0.000096791,-0.015479751,0.006048928,-0.004336585,-0.005924387,-0.001678908,0.000009,-14.337610,6.113497,0.274910,-0.536146,0.067335
57,11.06000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450162,-0.894472837,-1.570633173,0.000096849,-0.015479868,0.006048124,-0.004335077,-0.005897018,-0.001663797,0.000009,-14.337549,6.113454,0.274910,-0.536141,0.067335
