run,seed,rep,cond,obs,c_min,t_min,pre_vyb,pre_ang,core_vyb,core_ang,post_vyb,post_ang
isaac_bigarena_gmpc_scan__seed24__b5_s24_off_165529,24,x,off,dyn_obs_9,0.08285973951053505,88.71999801695097,0.22188669939686212,94.70324321676316,0.19224423066652757,109.8798337579193,0.1335757766722383,143.41425993875853
isaac_bigarena_gmpc_scan__seed7__b5_s7_off_161259,7,x,off,dyn_obs_5,0.16197739467839078,35.319999210418246,0.15828399376985097,47.41472328882302,0.18900678087231648,55.56823643426891,0.21782823345346913,80.32542778395458
isaac_bigarena_gmpc_scan_heading__seed13__b5_s13_on_164143,13,x,on,dyn_obs_2,0.46571223441684867,11.06999975214842,0.025782857015874565,6.889196111317257,0.058045224848668905,14.885427036679772,0.05213736888801409,14.104996642939534
isaac_bigarena_gmpc_scan_heading__seed13__b5_s13_on_164143,13,x,on,dyn_obs_5,0.2682151368825803,27.46999938614843,0.0043289257934907635,1.1067910146588233,0.01842551315558396,4.749264230049113,0.0764217778430665,19.761515944818097
isaac_bigarena_gmpc_scan_heading__seed1__r2_s1_on_172515,1,x,on,dyn_obs_1,0.08963660604023982,73.9099983476224,0.021284303021959224,5.31349586702398,0.04464406435376405,10.351722605656992,0.011576461078492084,2.842129126509842
isaac_bigarena_gmpc_scan_heading__seed1__r2_s1_on_172515,1,x,on,dyn_obs_4,0.4176432303172984,33.2099992576224,0.044442052361483755,11.644440707056301,0.0786229469541997,21.06065018034367,0.04579405902269917,11.48398723263647
isaac_bigarena_gmpc_scan_heading__seed1__r2_s1_on_172515,1,x,on,dyn_obs_7,0.4247619959095004,35.80999919962241,0.07570191410878743,20.669408851323027,0.04301868874801331,10.768626693142167,0.04055416609587903,10.528611522991696
isaac_bigarena_gmpc_scan_heading__seed1__r3_s1_on_174149,1,x,on,dyn_obs_1,0.10800840315116778,73.93999834701117,0.02869150361567844,6.873504225954714,0.06305847191913892,15.766831870262354,0.027347541483220744,6.657389655196655
isaac_bigarena_gmpc_scan_heading__seed1__r3_s1_on_174149,1,x,on,dyn_obs_4,0.411014992503913,33.48999925101117,0.027912472327178958,7.353250272367031,0.09312769987258948,23.36542160411843,0.050790689127396364,12.705163488521324
isaac_bigarena_gmpc_scan_heading__seed1__r3_s1_on_174149,1,x,on,dyn_obs_7,0.41859887590563943,35.93999919701116,0.08267271514584211,21.17211927555158,0.03875591666507658,10.013785075726659,0.038139565548440085,9.869024146235523
isaac_bigarena_gmpc_scan_heading__seed1__v2_on_154856,1,x,on,dyn_obs_1,0.09018809829566987,73.95999834694032,0.036146235994559656,9.394760495969049,0.06649236179038531,14.776995528111613,0.02809521500120936,7.3150957132293595
isaac_bigarena_gmpc_scan_heading__seed1__v2_on_154856,1,x,on,dyn_obs_4,0.41416029398655524,33.359999253940344,0.04708163065372885,11.023900236765735,0.07673796009015343,19.37423397561492,0.04602444493091615,12.345420866816252
isaac_bigarena_gmpc_scan_heading__seed1__v2_on_154856,1,x,on,dyn_obs_7,0.41991295926230926,35.70999920194032,0.07567251846716705,18.983605032168608,0.04506997942579136,11.483347401220053,0.029897590011693197,7.354698285117417
