seq,t,phase,event,joint1,joint2,joint3,joint4,joint5,joint6,finger,expected_opening
89,1.7800,reach,,-0.000003329,0.223965984,0.347336339,0.000001610,-0.413131747,-0.536500271,0.008900,0.000000
90,1.8000,reach,,-0.000003372,0.226892877,0.351875495,0.000001631,-0.418530748,-0.543511510,0.008900,0.000000
91,1.8200,reach,,-0.000003416,0.229819770,0.356414650,0.000001652,-0.423929749,-0.550522749,0.008900,0.000000
92,1.8400,reach,,-0.000003459,0.232746664,0.360953805,0.000001673,-0.429328749,-0.557533988,0.008900,0.000000
93,1.8600,reach,,-0.000003503,0.235673557,0.365492961,0.000001694,-0.434727750,-0.564545227,0.008900,0.000000
94,1.8800,reach,,-0.000003546,0.238600450,0.370032116,0.000001715,-0.440126751,-0.571556466,0.008900,0.000000
95,1.9000,reach,,-0.000003590,0.241527344,0.374571272,0.000001736,-0.445525752,-0.578567705,0.008900,0.000000
96,1.9200,reach,,-0.000003633,0.244454237,0.379110427,0.000001757,-0.450924753,-0.585578944,0.008900,0.000000
97,1.9400,reach,,-0.000003677,0.247381130,0.383649582,0.000001778,-0.456323754,-0.592590183,0.008900,0.000000
98,1.9600,reach,,-0.000003720,0.250308023,0.388188738,0.000001799,-0.461722754,-0.599601422,0.008900,0.000000
99,1.9800,reach,,-0.000003764,0.253234917,0.392727893,0.000001820,-0.467121755,-0.606612661,0.008900,0.000000
100,2.0000,reach,,-0.000003808,0.256161810,0.397267048,0.000001841,-0.472520756,-0.613623900,0.008900,0.000000
101,2.0200,reach,,-0.000003851,0.259088703,0.401806204,0.000001862,-0.477919757,-0.620635139,0.008900,0.000000
102,2.0400,reach,,-0.000003895,0.262015597,0.406345359,0.000001883,-0.483318758,-0.627646378,0.008900,0.000000
103,2.0600,reach,,-0.000003938,0.264942490,0.410884515,0.000001904,-0.488717759,-0.634657617,0.008900,0.000000
104,2.0800,reach,,-0.000003982,0.267869383,0.415423670,0.000001925,-0.494116760,-0.641668856,0.008900,0.000000
105,2.1000,reach,,-0.000004025,0.270796276,0.419962825,0.000001946,-0.499515760,-0.648680095,0.008900,0.000000
106,2.1200,reach,,-0.000004069,0.273723170,0.424501981,0.000001967,-0.504914761,-0.655691334,0.008900,0.000000
107,2.1400,reach,,-0.000004112,0.276650063,0.429041136,0.000001988,-0.510313762,-0.662702573,0.008900,0.000000
108,2.1600,reach,,-0.000004156,0.279576956,0.433580291,0.000002009,-0.515712763,-0.669713812,0.008900,0.000000
109,2.1800,reach,,-0.000004199,0.282503850,0.438119447,0.000002030,-0.521111764,-0.676725051,0.008900,0.000000
110,2.2000,reach,,-0.000004243,0.285430743,0.442658602,0.000002051,-0.526510765,-0.683736290,0.008900,0.000000
111,2.2200,reach,,-0.000004286,0.288357636,0.447197758,0.000002072,-0.531909765,-0.690747529,0.008900,0.000000
112,2.2400,reach,,-0.000004330,0.291284529,0.451736913,0.000002093,-0.537308766,-0.697758768,0.008900,0.000000
113,2.2600,reach,,-0.000004373,0.294211423,0.456276068,0.000002114,-0.542707767,-0.704770007,0.008900,0.000000
114,2.2800,reach,,-0.000004417,0.297138316,0.460815224,0.000002135,-0.548106768,-0.711781246,0.008900,0.000000
115,2.3000,reach,,-0.000004460,0.300065209,0.465354379,0.000002156,-0.553505769,-0.718792485,0.008900,0.000000
116,2.3200,reach,,-0.000004504,0.302992103,0.469893534,0.000002177,-0.558904770,-0.725803724,0.008900,0.000000
117,2.3400,reach,,-0.000004547,0.305918996,0.474432690,0.000002198,-0.564303771,-0.732814963,0.008900,0.000000
118,2.3600,reach,,-0.000004591,0.308845889,0.478971845,0.000002220,-0.569702771,-0.739826202,0.008900,0.000000
119,2.3800,reach,,-0.000004634,0.311772782,0.483511001,0.000002241,-0.575101772,-0.746837441,0.008900,0.000000
120,2.4000,reach,,-0.000004678,0.314699676,0.488050156,0.000002262,-0.580500773,-0.753848680,0.008900,0.000000
121,2.4200,reach,,-0.000004721,0.317626569,0.492589311,0.000002283,-0.585899774,-0.760859919,0.008900,0.000000
122,2.4400,reach,,-0.000004765,0.320553462,0.497128467,0.000002304,-0.591298775,-0.767871158,0.008900,0.000000
123,2.4600,reach,,-0.000004808,0.323480355,0.501667622,0.000002325,-0.596697776,-0.774882397,0.008900,0.000000
124,2.4800,reach,,-0.000004852,0.326407249,0.506206777,0.000002346,-0.602096776,-0.781893636,0.008900,0.000000
125,2.5000,reach,,-0.000004895,0.329334142,0.510745933,0.000002367,-0.607495777,-0.788904875,0.008900,0.000000
126,2.5200,reach,,-0.000004939,0.332261035,0.515285088,0.000002388,-0.612894778,-0.795916114,0.008900,0.000000
127,2.5400,reach,,-0.000004982,0.335187929,0.519824244,0.000002409,-0.618293779,-0.802927353,0.008900,0.000000
128,2.5600,reach,,-0.000005026,0.338114822,0.524363399,0.000002430,-0.623692780,-0.809938592,0.008900,0.000000
129,2.5800,reach,,-0.000005069,0.341041715,0.528902554,0.000002451,-0.629091781,-0.816949831,0.008900,0.000000
130,2.6000,reach,,-0.000005113,0.343968608,0.533441710,0.000002472,-0.634490782,-0.823961070,0.008900,0.000000
131,2.6200,reach,,-0.000005156,0.346895502,0.537980865,0.000002493,-0.639889782,-0.830972309,0.008900,0.000000
